filename,clust
input\kasumi_wav\CDかあ〜。蘭ちゃんの好きなバンド、気になるなあ。今度教えてよ！.wav,2
input\kasumi_wav\CiRCLEで用意してくれたチラシも結局、全部配れたんだ！.wav,1
input\kasumi_wav\CiRCLEに来たお客さん、みんなハロウィンの飾りを楽しんでくれてるね！.wav,0
input\kasumi_wav\CiRCLEのおかげで、みんなと知り合えてライブを通じて、バンドとしても繋がれたんだってホントに思ってます！.wav,0
input\kasumi_wav\CiRCLEのスタジオを貸してもらったり、準備を手伝ってもらったりしたおかげです！すっごく楽しかったですよ！.wav,0
input\kasumi_wav\CiRCLEのブースに、ポピパのライブを観てくれた人達が集まってるんだって！ほら……っ！.wav,0
input\kasumi_wav\PRって、アピールだよねアピール…….wav,1
input\kasumi_wav\Roseliaとの次のライブ、楽しみだな〜！それじゃあ次は……あっ、蘭ちゃん！お疲れさまー！　アーンド、かんぱーい！.wav,2
input\kasumi_wav\Roseliaと一緒のライブ、すごく楽しかったのでまた一緒にやりたいですっ！.wav,0
input\kasumi_wav\Roseliaのは、すごくカッコいいよ！友希那先輩のこの目！　クールだよね〜！.wav,0
input\kasumi_wav\Roseliaのみなさん、ライブお疲れさまでした！かんぱーい！.wav,2
input\kasumi_wav\Roseliaのステージ、毎回音がピタッと合っててすごいです！　あっ、もしかしてライブ前に円陣組んだりしてるんですか？.wav,0
input\kasumi_wav\Roseliaのライブって、めちゃめちゃカッコいいじゃん。歌もカッコいいけど、MCもすごいカッコいいし！.wav,0
input\kasumi_wav\Roseliaの演奏、すっごくカッコ良かったです！こう、ググーッとステージに引き込まれる感じで！.wav,0
input\kasumi_wav\SPACEラストライブのオーディションのこととか。合格してから１年経ったんだなー、とか.wav,0
input\kasumi_wav\TAB譜？.wav,1
input\kasumi_wav\——こんにちは！私たち、Poppin'Partyでーすっ！.wav,2
input\kasumi_wav\——はー。なんか緊張してきた。うまく説得できるかなあ.wav,2
input\kasumi_wav\――あ！そういえば、友希那先輩に褒められたんだよ！.wav,0
input\kasumi_wav\――うん、これでよし！燐子先輩、ありがとうございます！これで、紗夜先輩に美味しいチョコをプレゼントできそうです！.wav,0
input\kasumi_wav\――そうだっ！.wav,0
input\kasumi_wav\…………　!半分こしない？.wav,2
input\kasumi_wav\…………たぶん.wav,1
input\kasumi_wav\…………っ！.wav,2
input\kasumi_wav\…………でーきた～～～～っ！有咲っ！　こっちの資料、学年ごとに分け終わったよ～！.wav,2
input\kasumi_wav\…………よかった……ホント……よかった……っ。……うう……っ.wav,2
input\kasumi_wav\…………！.wav,2
input\kasumi_wav\……『サメつり』って……知ってる？.wav,1
input\kasumi_wav\……あ、あのさ、りみりん！私達、りみりんのこと待ってるよ！.wav,0
input\kasumi_wav\……あ、あのさぁ有咲。なんかボタンに、ひらがなとローマ字、２つ書いてあるんだけど……これはどういう……？.wav,0
input\kasumi_wav\……あ、おたえから電話だ！.wav,2
input\kasumi_wav\……あ、けど私、雨の日は雨の日で好きなんですよ.wav,1
input\kasumi_wav\……あ、そうだよね。別の仕事だったんだもんね！　それは仕方ないか。ごめんごめん！.wav,0
input\kasumi_wav\……あ、そうだ！今度のライブは、みんなでこの腕輪を付けてやってみよ～！我ながらナイスアイディアだよねっ？.wav,1
input\kasumi_wav\……あ、そっか、私がもっと練習すればいいのかー。あはは……はは…….wav,0
input\kasumi_wav\……あ、その前に！みんな円陣組んでいつものやつ、やろうよ！.wav,0
input\kasumi_wav\……あ、ヤバい。今、思い出しても、ちょっと泣けてきちゃうかも…….wav,1
input\kasumi_wav\……あ、ランダムスター！ね、また見せてもらっても…….wav,2
input\kasumi_wav\……あ、今も！.wav,0
input\kasumi_wav\……あ、仕事中なのに、引き留めてごめんなさい！.wav,2
input\kasumi_wav\……あ、有咲……っ！テスト……どうだった……っ！？.wav,0
input\kasumi_wav\……あ。ダメだよ、あっちゃん…….wav,1
